id,state,y,x
597,JUVENILE,307.0,173.0
598,ADULT_FEMALE_G,306.0,123.0
599,ADULT_FEMALE_G,2.0,230.0
600,JUVENILE,11.0,169.0
601,ADULT_MALE,9.0,170.0
602,ADULT_FEMALE_G,25.0,176.0
603,JUVENILE,11.0,169.0
604,ADULT_FEMALE_G,50.0,9.0
605,ADULT_MALE,65.0,4.0
606,JUVENILE,11.0,169.0
607,ADULT_MALE,3.0,213.0
608,JUVENILE,11.0,169.0
609,JUVENILE,284.0,175.0
610,ADULT_FEMALE_G,61.0,3.0
611,ADULT_FEMALE_G,3.0,216.0
612,ADULT_MALE,0.0,219.0
613,ADULT_MALE,51.0,7.0
614,ADULT_MALE,294.0,173.0
615,JUVENILE,5.0,225.0
616,ADULT_FEMALE_G,38.0,8.0
617,JUVENILE,5.0,225.0
618,JUVENILE,285.0,178.0
619,JUVENILE,5.0,225.0
620,ADULT_FEMALE_G,9.0,165.0
621,JUVENILE,5.0,225.0
622,ADULT_MALE,62.0,3.0
623,ADULT_FEMALE_G,285.0,178.0
624,JUVENILE,285.0,178.0
625,ADULT_FEMALE_G,5.0,171.0
626,JUVENILE,62.0,4.0
627,ADULT_FEMALE_G,14.0,163.0
628,JUVENILE,5.0,225.0
629,ADULT_FEMALE_G,2.0,229.0
630,JUVENILE,307.0,173.0
631,ADULT_FEMALE_G,5.0,213.0
632,ADULT_FEMALE_G,280.0,163.0
633,ADULT_MALE,1.0,227.0
634,JUVENILE,11.0,169.0
635,ADULT_FEMALE_G,3.0,174.0
636,JUVENILE,62.0,4.0
637,JUVENILE,284.0,175.0
638,JUVENILE,5.0,225.0
639,JUVENILE,62.0,4.0
640,JUVENILE,11.0,169.0
641,ADULT_FEMALE_G,8.0,216.0
642,JUVENILE,11.0,169.0
643,JUVENILE,5.0,225.0
644,JUVENILE,5.0,225.0
645,ADULT_FEMALE_G,13.0,164.0
646,ADULT_MALE,10.0,167.0
647,JUVENILE,11.0,169.0
648,ADULT_MALE,46.0,15.0
649,ADULT_MALE,3.0,216.0
650,ADULT_MALE,297.0,164.0
651,JUVENILE,5.0,225.0
652,JUVENILE,11.0,169.0
653,JUVENILE,5.0,225.0
654,ADULT_FEMALE_G,54.0,2.0
655,ADULT_FEMALE_G,6.0,171.0
656,JUVENILE,11.0,169.0
657,JUVENILE,11.0,169.0
658,JUVENILE,5.0,225.0
659,JUVENILE,11.0,169.0
660,JUVENILE,307.0,173.0
661,ADULT_MALE,8.0,214.0
662,ADULT_FEMALE_G,55.0,9.0
663,JUVENILE,62.0,4.0
664,JUVENILE,11.0,169.0
665,ADULT_MALE,325.0,159.0
666,JUVENILE,5.0,225.0
667,ADULT_FEMALE_G,47.0,12.0
668,ADULT_FEMALE_G,37.0,6.0
669,ADULT_FEMALE_G,6.0,171.0
670,ADULT_FEMALE_G,5.0,217.0
671,JUVENILE,5.0,225.0
672,JUVENILE,304.0,148.0
673,JUVENILE,62.0,4.0
