epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
111,23202.6,0.01114,0.54741,1.02523,0.94898,0.95173,0.97331,0.71656,0.00818,0.33046,0.76498,0.0152445,0.00508151,0.0152445,0.00508151,0.0152445,0.00508151,0.0152445,0.00508151
112,23295,0.01121,0.55224,1.0278,0.94907,0.95039,0.97335,0.71736,0.00817,0.32974,0.76361,0.0151104,0.00503679,0.0151104,0.00503679,0.0151104,0.00503679,0.0151104,0.00503679
113,23394.8,0.01109,0.5457,1.02404,0.94819,0.95009,0.97324,0.71769,0.00817,0.33005,0.76319,0.0149762,0.00499208,0.0149762,0.00499208,0.0149762,0.00499208,0.0149762,0.00499208
114,23490.9,0.01113,0.53973,1.02892,0.95065,0.95082,0.97367,0.71813,0.00816,0.33116,0.76249,0.0148421,0.00494737,0.0148421,0.00494737,0.0148421,0.00494737,0.0148421,0.00494737
115,23584,0.01114,0.53744,1.02045,0.95085,0.9514,0.97356,0.71863,0.00816,0.3295,0.76158,0.014708,0.00490265,0.014708,0.00490265,0.014708,0.00490265,0.014708,0.00490265
116,23679.9,0.01114,0.541,1.02369,0.95084,0.95264,0.97356,0.71914,0.00815,0.32985,0.76093,0.0145738,0.00485794,0.0145738,0.00485794,0.0145738,0.00485794,0.0145738,0.00485794
117,24153.7,0.01103,0.53265,1.02271,0.95,0.95166,0.97358,0.72019,0.00814,0.33019,0.76027,0.0144397,0.00481323,0.0144397,0.00481323,0.0144397,0.00481323,0.0144397,0.00481323
118,24690.6,0.01114,0.54184,1.02388,0.95091,0.95272,0.97399,0.72142,0.00812,0.33005,0.75968,0.0143055,0.00476851,0.0143055,0.00476851,0.0143055,0.00476851,0.0143055,0.00476851
119,25224.3,0.01104,0.53573,1.01648,0.95175,0.95216,0.97417,0.72111,0.00811,0.32862,0.75887,0.0141714,0.0047238,0.0141714,0.0047238,0.0141714,0.0047238,0.0141714,0.0047238
120,25789.9,0.01098,0.53557,1.01952,0.9518,0.95316,0.97444,0.72259,0.00809,0.32861,0.75747,0.0140373,0.00467909,0.0140373,0.00467909,0.0140373,0.00467909,0.0140373,0.00467909
121,26354.8,0.01105,0.53741,1.02605,0.9518,0.95317,0.97439,0.72289,0.00808,0.32725,0.75723,0.0139031,0.00463437,0.0139031,0.00463437,0.0139031,0.00463437,0.0139031,0.00463437
122,26924.4,0.01103,0.53953,1.02403,0.9527,0.95392,0.97543,0.72335,0.00807,0.32749,0.75584,0.013769,0.00458966,0.013769,0.00458966,0.013769,0.00458966,0.013769,0.00458966
123,27495,0.01089,0.52748,1.01061,0.95177,0.95259,0.97478,0.72408,0.00806,0.32639,0.75531,0.0136348,0.00454494,0.0136348,0.00454494,0.0136348,0.00454494,0.0136348,0.00454494
124,28064.1,0.01098,0.53439,1.01423,0.9518,0.95308,0.97492,0.72457,0.00805,0.32644,0.75432,0.0135007,0.00450023,0.0135007,0.00450023,0.0135007,0.00450023,0.0135007,0.00450023
125,28635.3,0.01091,0.52597,1.01101,0.95273,0.95447,0.97632,0.72545,0.00805,0.32585,0.75349,0.0133666,0.00445552,0.0133666,0.00445552,0.0133666,0.00445552,0.0133666,0.00445552
126,29206.6,0.01092,0.53697,1.01397,0.95365,0.95446,0.97645,0.725,0.00804,0.32517,0.75285,0.0132324,0.0044108,0.0132324,0.0044108,0.0132324,0.0044108,0.0132324,0.0044108
